Hybrid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
01CSI6/LH287,1.8205321366930098,5.3518418855627115,7.038313690032114,-5.937526308972688,3.7158658960883546,0.3136154274852024,1.7143561097778348,0.44950978479384385,1.7195622862879687,1.4133588169185192,-2.8778488152566224,-0.7588814427538247,0.904111918566689,0.2806329887037387,-0.21191353486000988,0.23832520562171822,0.06123102699576841,-1.1261058802315596,-0.34954852730743297,0.6346354222000311
01DIB2/LH287,-0.8561711391461252,5.17673168343951,5.1113217571049185,-5.539152293096727,4.187580915297854,0.49709773320709194,0.5526386371301109,0.30770303421813866,0.034789542002749016,1.0098157720013252,1.5198433750348157,-0.5897216693803742,-0.2448788148368547,0.9568520287582867,-0.005123569095564665,-0.3273384583853614,0.9366881267498898,-1.438739584691019,-0.8539340708351835,-0.8920933369885532
01DIB2/PHP02,1.7380688513091291,-8.193748453882893,3.1557918641545557,-0.4490279081323347,0.48665020671435333,1.2375007546531143,0.5368684345547267,0.2404851909982019,-0.7824452647942772,1.1378582259132213,0.5049697033715229,-0.9251413707782221,-0.8939878664823884,-0.6493132580899585,0.3008136258932634,-0.7914736315246943,-0.36424953884733624,0.09416215418437256,-1.18893893766149,-0.8024705089781256
2369/DK3IIH6,-2.3651991569554314,-4.869752071084996,1.777442262427698,-0.06712860565484197,-1.0698597988593455,1.6172174834929438,-2.267919121846524,-0.08662440421565898,-1.3795257677935435,2.4493701462798234,-2.584339662182212,6.7160885464015205,-1.723833613068845,3.2998918089074216,1.695375246582893,-0.4572357429571644,1.167836725320569,-1.126477806206346,-0.3526368485094819,0.4116441672559767
2369/LH123HT,-3.649140878894222,2.8488055854360024,1.689734648965373,-3.113324167032389,-0.2011186034153594,1.4679102756434197,-0.481287930406333,-0.34504508400805944,-1.4968933344836197,1.086886340776308,-0.5579376400163936,1.6873781664551786,-0.656827851408423,-0.15666502394393927,-1.7446226252748727,-1.345360018575388,2.1066473415723035,0.35169832517184396,1.1108445656857069,-0.519686264195057
2369/PHN82,-2.7752838809312705,-5.3380207622400215,1.349199188693434,0.8757719183758358,-0.29781816319985116,2.1358647755600293,-0.8814514611622599,0.08081961281944341,-1.4294806223148877,1.383918078528906,-1.7134843122717862,0.4040915709497094,-1.3104664184974717,-0.14138550490157226,-1.5493400250984577,0.469782573829822,1.1176038163621784,-0.025381702639874566,1.6884310340310453,1.6434037513790345
2369/PHZ51,-3.1230562960244406,3.1499373155497774,2.534399853764257,8.550801307363878,1.9403092297857758,2.329246450902935,0.14797415582126514,0.3861437523106508,-1.8800229547749707,1.2220646652644966,-0.3102301604508555,0.19639316912272387,-1.4690890683891888,0.02722991215138881,-0.7607178348498943,-0.2464474140456886,0.4643213618938792,-0.12587283036420627,0.5289743427492143,0.6928625867080537
2FACC/DK3IIH6,4.117973795389255,-4.836221017548195,1.920484246858439,0.04885169664846059,0.2628964163987965,0.2888634499662833,-0.3777802109338139,-0.14992270896820442,2.917818219325727,0.4498284163978426,-3.010134037366186,8.628088446603014,1.3683943175736513,-0.2793430122217147,4.038682486454458,-2.502270247823871,-0.4306581439076474,-1.9648011649622843,-1.1027494640358322,2.1390620891650496
2FACC/LH287,2.072318717947871,4.546436409920346,4.935913685632352,-4.983151010594035,4.448953539375623,0.3421079999951298,1.5462250379519584,0.03777255012389037,2.352337876937456,-0.5974391956309157,-0.8559362018566947,1.7595119509788635,3.0567200079758696,-2.6208750654823665,1.084195236522501,-1.7960456346212734,1.130062933230664,-2.3781435942019353,-0.1703979519404663,2.6557350084354288
2FACC/PHP02,4.6817716410171935,-8.74291282143952,3.051658947290012,0.06775181302832262,0.7527772132744551,1.1051959840637111,1.5152532530549292,-0.004367596552519042,1.5756437799657574,-0.45811913094294515,-1.831726677743906,1.4691897549948763,2.382738353468656,-4.25303437012649,1.3624323020100264,-2.240960793764127,-0.11601457771767375,-0.7765832316275331,-0.4927378595330833,2.765229889219335
